country,season,band,predictor,cv_corr_dt,p_perm_dt,q_bh_dt
Ethiopia,JJAS,Central,tna,-0.068,0.2366,0.5857
Ethiopia,JJAS,Central,tsa,-0.214,0.3825,0.6859
Ethiopia,JJAS,Central,atl_grad,-0.448,0.6105,0.8299
Ethiopia,JJAS,Central,iod_dmi,-0.287,0.4589,0.7397
Ethiopia,JJAS,Central,wvg2,-0.513,0.6503,0.8639
Ethiopia,JJAS,Central,wvg3,-0.55,0.6779,0.8806
Ethiopia,ASO,Central,nino34,-0.289,0.4517,0.7397
Ethiopia,ASO,Central,atl3,-0.118,0.2853,0.6116
Ethiopia,ASO,Central,tna,-0.674,0.8112,0.9257
Ethiopia,ASO,Central,tsa,-0.126,0.2971,0.6116
Ethiopia,ASO,Central,atl_grad,-0.282,0.4431,0.7397
Ethiopia,ASO,Central,iod_dmi,0.086,0.104,0.4506
Ethiopia,ASO,Central,wvg2,-0.178,0.3479,0.6693
Ethiopia,ASO,Central,wvg3,-0.198,0.3649,0.6806
Ethiopia,SON,Central,nino34,0.14,0.0586,0.3584
Ethiopia,SON,Central,atl3,0.121,0.0766,0.3803
Ethiopia,SON,Central,tna,-0.524,0.6925,0.8833
Ethiopia,SON,Central,tsa,0.124,0.0626,0.3616
Ethiopia,SON,Central,atl_grad,-0.001,0.169,0.5424
Ethiopia,SON,Central,iod_dmi,0.271,0.013,0.1445
Ethiopia,SON,Central,wvg2,0.216,0.0242,0.1968
Ethiopia,SON,Central,wvg3,0.199,0.0268,0.2064
Ethiopia,JJA,North,nino34,0.048,0.1336,0.521
Ethiopia,JJA,North,atl3,-0.123,0.2979,0.6116
Ethiopia,JJA,North,tna,-0.066,0.2304,0.5773
Ethiopia,JJA,North,tsa,-0.039,0.2096,0.5588
Ethiopia,JJA,North,atl_grad,-0.612,0.7493,0.9188
Ethiopia,JJA,North,iod_dmi,-0.642,0.7449,0.9188
Ethiopia,JJA,North,wvg2,0.144,0.0654,0.3676
Ethiopia,JJA,North,wvg3,0.122,0.0854,0.4024
Ethiopia,JAS,North,nino34,0.389,0.003,0.0446
Ethiopia,JAS,North,atl3,0.091,0.1032,0.4506
Ethiopia,JAS,North,tna,-0.297,0.4573,0.7397
Ethiopia,JAS,North,tsa,0.085,0.1062,0.4507
Ethiopia,JAS,North,atl_grad,-0.743,0.8892,0.9659
Ethiopia,JAS,North,iod_dmi,-0.761,0.8622,0.9632
Ethiopia,JAS,North,wvg2,0.419,0.0022,0.0381
Ethiopia,JAS,North,wvg3,0.423,0.001,0.0231
Ethiopia,JJAS,North,nino34,-0.099,0.2561,0.5986
Ethiopia,JJAS,North,atl3,-0.071,0.2501,0.5913
Ethiopia,JJAS,North,tna,-0.206,0.3897,0.6928
Ethiopia,JJAS,North,tsa,-0.007,0.1854,0.5424
Ethiopia,JJAS,North,atl_grad,-0.861,0.9822,0.991
Ethiopia,JJAS,North,iod_dmi,-0.508,0.6427,0.8624
Ethiopia,JJAS,North,wvg2,0.016,0.153,0.5303
Ethiopia,JJAS,North,wvg3,-0.012,0.1752,0.5424
Ethiopia,ASO,North,nino34,0.077,0.1084,0.4509
Ethiopia,ASO,North,atl3,-0.575,0.7105,0.8902
Ethiopia,ASO,North,tna,-0.847,0.991,0.991
Ethiopia,ASO,North,tsa,-0.746,0.8752,0.9632
Ethiopia,ASO,North,atl_grad,-0.765,0.9,0.9659
Ethiopia,ASO,North,iod_dmi,-0.695,0.7838,0.9257
Ethiopia,ASO,North,wvg2,-0.009,0.177,0.5424
Ethiopia,ASO,North,wvg3,0.02,0.1524,0.5303
Kenya,MAM,National,nino34,-0.104,0.2661,0.4895
Kenya,MAM,National,atl3,-0.674,0.803,0.9098
Kenya,MAM,National,tna,-0.816,0.8878,0.9467
Kenya,MAM,National,tsa,-0.845,0.973,0.9807
Kenya,MAM,National,atl_grad,-0.831,0.9246,0.9602
Kenya,MAM,National,iod_dmi,-0.027,0.193,0.4062
Kenya,MAM,National,wvg2,-0.05,0.215,0.4222
Kenya,MAM,National,wvg3,-0.034,0.1816,0.3926
Kenya,AMJ,National,nino34,0.251,0.0244,0.0929
Kenya,AMJ,National,atl3,-0.504,0.6501,0.8281
Kenya,AMJ,National,tna,-0.546,0.6703,0.8378
Kenya,AMJ,National,tsa,-0.311,0.4779,0.7146
Kenya,AMJ,National,atl_grad,-0.133,0.2943,0.5175
Kenya,AMJ,National,iod_dmi,-0.795,0.9196,0.9602
Kenya,AMJ,National,wvg2,0.291,0.0158,0.0722
Kenya,AMJ,National,wvg3,0.298,0.0116,0.0546
Kenya,SON,National,nino34,0.414,0.002,0.011
Kenya,SON,National,atl3,0.162,0.053,0.16
Kenya,SON,National,tna,-0.43,0.5973,0.7867
