target,predictor_source,method,lead,transform,predictor_domain,eof_modes,downscale,generalized_roc,rpss,pearson_r,hit_rate
Kenya:MAM,obs_sst_field,cca,2,raw,indian,8,none,0.4899,-0.1082,0.0064,0.3309
Kenya:MAM,gcm_mos_sst,cca,2,raw,indian,8,none,0.4545,-0.1271,-0.1066,0.2735
Kenya:MAM,obs_sst_field,cca,2,raw,pacific,4,none,0.4632,-0.1028,-0.1503,0.2899
Kenya:MAM,gcm_mos_sst,cca,2,raw,pacific,4,none,0.5045,-0.0657,-0.0538,0.3309
Kenya:MAM,obs_sst_field,cca,2,raw,pacific,8,none,0.4561,-0.1445,-0.1435,0.2702
Kenya:MAM,gcm_mos_sst,cca,2,raw,pacific,8,none,0.4812,-0.1184,-0.138,0.3091
Kenya:MAM,gcm_mos_precip,cca,2,raw,region,4,none,0.5507,-0.0009,0.1505,0.371
Kenya:MAM,gcm_mos_precip,cca,2,raw,region,8,none,0.5507,-0.0012,0.1505,0.3699
Kenya:MAM,gcm_mos_precip,qm,2,raw,region,0,none,0.6036,0.0319,0.2887,0.3482
Kenya:MAM,obs_index,regression,2,raw,nino34,0,none,0.4429,-0.082,-0.1692,0.2752
Kenya:MAM,gcm_index,regression,2,raw,nino34,0,none,0.5034,-0.0344,0.0413,0.3194
Kenya:MAM,obs_index,regression,2,raw,iod,0,none,0.3935,-0.1071,-0.4339,0.2189
Kenya:MAM,gcm_index,regression,2,raw,iod,0,none,0.3959,-0.0948,-0.3635,0.2299
Kenya:MAM,obs_index,regression,2,raw,wpg,0,none,0.412,-0.0998,-0.3001,0.2532
Kenya:MAM,gcm_index,regression,2,raw,wpg,0,none,0.4969,-0.053,-0.0332,0.3293
Kenya:MAM,obs_index,regression,2,raw,wvg,0,none,0.4018,-0.1004,-0.3367,0.2375
Kenya:MAM,gcm_index,regression,2,raw,wvg,0,none,0.4997,-0.0483,-0.0296,0.3273
Kenya:MAM,obs_index,regression,2,raw,iwhg,0,none,0.4068,-0.1019,-0.342,0.2364
Kenya:MAM,gcm_index,regression,2,raw,iwhg,0,none,0.4723,-0.0676,-0.0997,0.2972
Kenya:MAM,persistence,regression,2,raw,region,0,none,0.4026,-0.1126,-0.3557,0.225
Kenya:MAM,obs_sst_field,cca,3,std_anom,indo_pacific,4,none,0.4735,-0.0946,-0.1,0.2913
Kenya:MAM,gcm_mos_sst,cca,3,std_anom,indo_pacific,4,none,0.481,-0.0999,-0.0787,0.3218
Kenya:MAM,obs_sst_field,cca,3,std_anom,indo_pacific,8,none,0.4788,-0.1006,-0.0557,0.3002
Kenya:MAM,gcm_mos_sst,cca,3,std_anom,indo_pacific,8,none,0.4749,-0.0961,-0.0427,0.3141
Kenya:MAM,obs_sst_field,cca,3,std_anom,indian,4,none,0.525,-0.0474,0.0856,0.3546
Kenya:MAM,gcm_mos_sst,cca,3,std_anom,indian,4,none,0.4684,-0.0857,-0.0782,0.2976
Kenya:MAM,obs_sst_field,cca,3,std_anom,indian,8,none,0.5262,-0.0594,0.0652,0.3573
Kenya:MAM,gcm_mos_sst,cca,3,std_anom,indian,8,none,0.4807,-0.0781,-0.0475,0.3065
Kenya:MAM,obs_sst_field,cca,3,std_anom,pacific,4,none,0.4568,-0.1195,-0.1493,0.2753
Kenya:MAM,gcm_mos_sst,cca,3,std_anom,pacific,4,none,0.4821,-0.0995,-0.073,0.3247
Kenya:MAM,obs_sst_field,cca,3,std_anom,pacific,8,none,0.4584,-0.1404,-0.123,0.2749
Kenya:MAM,gcm_mos_sst,cca,3,std_anom,pacific,8,none,0.494,-0.0882,-0.0256,0.3219
Kenya:MAM,gcm_mos_precip,cca,3,std_anom,region,4,none,0.4877,-0.05,0.0183,0.3254
Kenya:MAM,gcm_mos_precip,cca,3,std_anom,region,8,none,0.488,-0.0468,0.0183,0.328
Kenya:MAM,gcm_mos_precip,qm,3,std_anom,region,0,none,0.5655,0.0031,0.2203,0.342
Kenya:MAM,obs_index,regression,3,std_anom,nino34,0,none,0.4446,-0.0814,-0.1888,0.2759
Kenya:MAM,gcm_index,regression,3,std_anom,nino34,0,none,0.4042,-0.0942,-0.3674,0.2485
Kenya:MAM,obs_index,regression,3,std_anom,iod,0,none,0.3957,-0.0994,-0.4446,0.2222
Kenya:MAM,gcm_index,regression,3,std_anom,iod,0,none,0.4431,-0.0949,-0.2258,0.2754
Kenya:MAM,obs_index,regression,3,std_anom,wpg,0,none,0.4189,-0.098,-0.314,0.2545
Kenya:MAM,gcm_index,regression,3,std_anom,wpg,0,none,0.3922,-0.1093,-0.4239,0.2284
